_id,Name,Code,IERS DOMES Number,Description,Latitude,Longitude,Height in meter,Receiver Type,Satellite System,Antenna Type,Elevation Mask in Degree,Recording Rate,Comment,State
11,Kota Belud,BELU,22768M001,Geodetic ground marker (circle plate with bolt). 2 meter stainless steel pillar on top of concrete building.,6.417456603,116.5543474,63.7717,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Taun Gusi, Kota Belud, Sabah.",Sabah
12,Bentong,BENT,22756M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the concrete building.,3.526919897,101.9720091,114.8254,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Pejabat Daerah Bentong, Bentong Pahang.",Pahang
13,Beaufort,BFOR,22765M001,Geodetic ground marker (circle plate with bolt). 3 meter stainless steel pillar on top of concrete building.,5.355860014,115.8541039,82.5784,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Beaufort, Beaufort, Sabah.",Sabah
14,Bintulu,BIN1,Domes Number belum diperolehi,BIN1,3.240318106,113.1933557,58.9545,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Kolej Vokasional Bintulu, Bintulu, Sarawak.",Sarawak
15,Cheneh Baru,CENE,22758M001,Geodetic ground marker (circle plate with bolt). 2 meter stainless steel pillar on top of concrete building.,4.123094452,103.2976664,27.9931,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Cheneh Baru, Kemaman, Terengganu.",Terengganu
16,Cameron Highlands,CMRN,22728M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the building.,4.424719678,101.4029687,1119.1932,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SK Ringlet, Cameron Highlands, Pahang.",Pahang
17,Lahad Datu,DATU,22772M001,Geodetic ground marker (circle plate with bolt). 2 meter stainless steel pillar on top of the concrete building.,5.0273197,118.4207347,76.9321,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Sepagaya, Lahad Datu, Sabah.",Sabah
18,Kg. Gajah,GAJA,22743M001,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,2.122289753,103.4770933,60.2063,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Padang Ragut Hijau, Jalan Mersing, Johor.",Johor
19,Geting,GET2,Domes Number belum diperolehi,GET2,6.225972123,102.1514845,1.8393,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Lembaga Kemajuan Ikan Malaysia (LKIM), Kompleks Perikanan LKIM Getting, Pengkalan Kubor, Kelantan.",Kelantan
20,Gua Musang,GMUS,22761M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of tower.,4.862974663,102.0879354,125.9714,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Balai Bomba dan Penyelamat Gua Musang, Kelantan.",Kelantan
21,Gerik,GRIK,22727M001,Geodetic ground marker (circle plate with bolt). 5 meter stainless steel pillar on top of the concrete roof.,5.439012541,101.2527427,149.1897,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Bangunan Persekutuan Gerik, Perak.",Perak
